start_epoch,end_epoch,start_time,end_time,open,close,low,high,volume
1695698100,1695698340,2023-09-26 03:15:00+00:00,2023-09-26 03:19:00+00:00,26341.54,26358.33,26341.53,26362.01,15.359589
1695698400,1695698640,2023-09-26 03:20:00+00:00,2023-09-26 03:24:00+00:00,26358.35,26367.75,26353.82,26368.85,8.015966
1695698700,1695698940,2023-09-26 03:25:00+00:00,2023-09-26 03:29:00+00:00,26368.85,26371.58,26356.28,26374.58,18.477193
1695699000,1695699240,2023-09-26 03:30:00+00:00,2023-09-26 03:34:00+00:00,26371.05,26379.23,26367.36,26382.84,18.668766
1695699300,1695699540,2023-09-26 03:35:00+00:00,2023-09-26 03:39:00+00:00,26379.22,26380.06,26376.05,26383.78,4.432769
1695699600,1695699840,2023-09-26 03:40:00+00:00,2023-09-26 03:44:00+00:00,26380.07,26377.59,26367.09,26397.59,23.866392
1695699900,1695700140,2023-09-26 03:45:00+00:00,2023-09-26 03:49:00+00:00,26377.58,26355.07,26349.48,26377.63,6.851468
1695700200,1695700440,2023-09-26 03:50:00+00:00,2023-09-26 03:54:00+00:00,26356.05,26357.08,26350.33,26367.55,10.551832
1695700500,1695700740,2023-09-26 03:55:00+00:00,2023-09-26 03:59:00+00:00,26357.08,26348.74,26347.42,26357.08,4.160715
1695700800,1695701040,2023-09-26 04:00:00+00:00,2023-09-26 04:04:00+00:00,26348.73,26340.03,26334.84,26354.33,9.099181
1695701100,1695701340,2023-09-26 04:05:00+00:00,2023-09-26 04:09:00+00:00,26341.07,26360.38,26340.03,26364.45,11.205017
1695701400,1695701640,2023-09-26 04:10:00+00:00,2023-09-26 04:14:00+00:00,26360.38,26357.66,26352.23,26360.38,8.660319
1695701700,1695701940,2023-09-26 04:15:00+00:00,2023-09-26 04:19:00+00:00,26357.66,26341.84,26335.1,26357.66,15.043328
1695702000,1695702240,2023-09-26 04:20:00+00:00,2023-09-26 04:24:00+00:00,26341.62,26340.97,26340.21,26344.29,4.548272
1695702300,1695702540,2023-09-26 04:25:00+00:00,2023-09-26 04:29:00+00:00,26340.97,26330.22,26330.21,26345.1,4.938172
1695702600,1695702840,2023-09-26 04:30:00+00:00,2023-09-26 04:34:00+00:00,26330.21,26324.41,26322.3,26332.82,12.990278
1695702900,1695703140,2023-09-26 04:35:00+00:00,2023-09-26 04:39:00+00:00,26325.12,26330.42,26322.55,26338.91,6.50055
1695703200,1695703440,2023-09-26 04:40:00+00:00,2023-09-26 04:44:00+00:00,26330.42,26333.21,26329.41,26336.05,4.618871
1695703500,1695703740,2023-09-26 04:45:00+00:00,2023-09-26 04:49:00+00:00,26333.21,26333.17,26330.54,26341.66,6.189491
1695703800,1695704040,2023-09-26 04:50:00+00:00,2023-09-26 04:54:00+00:00,26333.13,26330.34,26327.85,26338.9,5.892969
